id,reactant1_smiles,reactant2_smiles,solvent_smiles,reactant1_ratio,reactant2_ratio,solvent_ratio,reactant1_key,reactant2_key,solvent_key,product_smiles,byproduct_smiles,reaction_index_dicts,reactant1_group_smiles,reactant2_group_smiles,solvent_group_smiles,reactant1_rings,reactant2_rings,solvent_rings,reactant1_count_group,reactant2_count_group,solvent_count_group,reactant1_group_min_distances,reactant2_group_min_distances,solvent_group_min_distances,reactant1_group_max_distances,reactant2_group_max_distances,solvent_group_max_distances,reactant1_ar_sp3_balance,reactant2_ar_sp3_balance,solvent_ar_sp3_balance,reactant1_aromatic_rings,reactant2_aromatic_rings,solvent_aromatic_rings,reactant1_molfinger,reactant2_molfinger,solvent_molfinger,r1_num,r2_num,sol_num,r1_group_num,r2_group_num
1,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,1,1,3,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50,50,150,100,150
2,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,1,2,2,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50,100,100,100,300
3,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,1,3,1,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50,150,50,100,450
4,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,1,4,0,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",50,200,0,100,600
5,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,2,1,2,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",100,50,100,200,150
6,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,2,2,1,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",100,100,50,200,300
7,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,2,3,0,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",100,150,0,200,450
8,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,3,1,1,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",150,50,50,300,150
9,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,3,2,0,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",150,100,0,300,300
10,C1CNCCN1,O=C(Cl)C1CC(C(=O)Cl)CC(C(=O)Cl)C1,CCCCCC,4,1,0,0,0,0,[H]N1C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])(C(=O)Cl)C([H])([H])C([H])(C(=O)Cl)C2([H])[H])C([H])([H])C1([H])[H],[H]Cl,"[{'N_r': 3, 'C_r': 18, 'Cl_d': 19, 'H_d': 11, 'N_p': 4, 'C_p': 5, 'Cl_p': 39, 'H_p': 40}]",N,C(=O)Cl,C,1,1,0,2,3,2,3,4,5,3,4,5,0.0,0.0,0.0,0,0,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",200,50,0,400,150
